,DEPT,GR,CILD,RHOB,NPLS,PE,ILD,SP,DT,Formation,Well name,Log_ILD,Log_CILD
108,323.9,93.41,89.77,1.94,36.21,2.93,11.16,240.64,112.94,Unknown,BAUMGARTNER 1-23 #1,2.412335956953165,4.497250843768597
109,324.4,89.3,96.31,2.08,32.76,2.69,10.39,240.77,119.83,Unknown,BAUMGARTNER 1-23 #1,2.340843805111136,4.567572155572773
110,324.9,93.24,99.19,2.22,30.68,2.76,10.08,241.07,120.79,Unknown,BAUMGARTNER 1-23 #1,2.3105532626432224,4.597037202757902
111,325.4,91.24,99.28,2.31,31.25,2.99,10.07,241.2,118.74,Unknown,BAUMGARTNER 1-23 #1,2.309560706730471,4.5979441408963515
112,325.9,81.53,97.72,2.35,32.12,3.18,10.23,241.22,116.41,Unknown,BAUMGARTNER 1-23 #1,2.325324579963535,4.5821062463895395
113,326.4,76.24,95.57,2.37,31.53,3.26,10.46,241.05,114.25,Unknown,BAUMGARTNER 1-23 #1,2.347558458636777,4.559858963278089
114,326.9,81.27,93.43,2.38,29.89,3.23,10.7,241.04,112.67,Unknown,BAUMGARTNER 1-23 #1,2.3702437414678603,4.537212492804865
115,327.4,92.56,91.64,2.37,29.04,3.16,10.91,241.17,111.71,Unknown,BAUMGARTNER 1-23 #1,2.3896797998449792,4.517867857585295
116,327.9,96.64,90.75,2.36,29.23,3.15,11.02,241.22,109.92,Unknown,BAUMGARTNER 1-23 #1,2.3997118037247684,4.5081084731449605
117,328.4,90.73,91.96,2.36,29.85,3.28,10.87,241.28,107.9,Unknown,BAUMGARTNER 1-23 #1,2.386006701133118,4.521353699894981
118,328.9,89.64,96.4,2.36,30.5,3.51,10.38,241.37,107.58,Unknown,BAUMGARTNER 1-23 #1,2.3398808777377424,4.5685062016165
119,329.4,92.52,104.45,2.36,31.16,3.71,9.59,241.64,108.64,Unknown,BAUMGARTNER 1-23 #1,2.2607208888953467,4.648708488002574
120,329.9,96.03,115.81,2.38,32.45,3.7,8.65,242.16,110.74,Unknown,BAUMGARTNER 1-23 #1,2.157559320943788,4.751950917196286
121,330.4,99.03,129.16,2.39,33.87,3.63,7.76,242.65,114.42,Unknown,BAUMGARTNER 1-23 #1,2.048982334195127,4.8610519458900745
122,330.9,101.86,140.35,2.36,35.07,3.64,7.13,242.99,118.24,Unknown,BAUMGARTNER 1-23 #1,1.9643112344262046,4.9441393028078915
123,331.4,107.96,148.65,2.33,35.25,3.69,6.73,243.33,121.25,Unknown,BAUMGARTNER 1-23 #1,1.9065751436566365,5.001594549444107
124,331.9,114.71,152.69,2.33,34.43,3.66,6.55,243.25,123.81,Unknown,BAUMGARTNER 1-23 #1,1.8794650496471605,5.028409722195421
125,332.4,114.79,152.33,2.35,33.9,3.55,6.56,243.24,125.62,Unknown,BAUMGARTNER 1-23 #1,1.8809906029559975,5.02604922014861
126,332.9,111.65,149.26,2.35,33.25,3.4,6.7,243.3,128.05,Unknown,BAUMGARTNER 1-23 #1,1.9021075263969205,5.005689751703241
127,333.4,109.54,145.17,2.35,34.1,3.31,6.89,243.3,131.17,Unknown,BAUMGARTNER 1-23 #1,1.9300710850255671,4.9779054694733365
128,333.9,107.07,141.36,2.36,36.33,3.39,7.08,243.31,132.81,Unknown,BAUMGARTNER 1-23 #1,1.9572739077056285,4.951309828011441
